Unidad,Ciclo,AjOp_1,AjOp_2,AjOp_3,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_11,Sensor_12,Sensor_13,Sensor_14,Sensor_15,Sensor_16,Sensor_17,Sensor_18,Sensor_19,Sensor_20,Sensor_21,Sensor_22,Sensor_23
1,1,-0.0005,0.0004,100,518.67,1583.23,522.31,100,553.97,1396.84,1.3,2387.96,14.62,9062.17,9.06217,23.3537,8.4246,47.3,0.854512677,391,2388.01,2388,642.36,8145.32,0.03,39.11,21.61
1,2,0.0008,-0.0003,100,518.67,1584.69,522.42,100,554.55,1396.89,1.3,2388,14.62,9061.78,9.06178,23.4491,8.4403,47.23,0.193442776,392,2388.03,2388,642.5,8152.85,0.03,38.99,21.61
1,3,-0.0014,-0.0002,100,518.67,1582.35,522.03,100,554.43,1405.61,1.3,2388.03,14.62,9070.23,9.07023,23.3669,8.3901,47.22,0.729262352,391,2388,2388,642.18,8150.17,0.03,38.85,21.61
1,4,-0.002,0.0001,100,518.67,1585.61,522.49,100,555.21,1392.27,1.3,2388,14.62,9064.57,9.06457,23.2951,8.3878,47.24,0.040199273,392,2388.08,2388,642.92,8146.56,0.03,38.96,21.61
1,5,0.0016,0,100,518.67,1588.63,522.58,100,554.74,1397.65,1.3,2388.04,14.62,9076.14,9.07614,23.4583,8.3869,47.15,0.881302733,392,2388.03,2388,641.68,8147.8,0.03,39.14,21.61
1,6,0.0011,-0.0005,100,518.67,1584.09,522.42,100,554.75,1400.01,1.3,2388,14.62,9074.98,9.07498,23.4281,8.4152,47.07,0.983188949,393,2388.02,2388,642.24,8144.92,0.03,38.92,21.61
1,7,-0.0038,0.0002,100,518.67,1585.61,522.46,100,554.58,1401.09,1.3,2388.04,14.62,9074.65,9.07465,23.4087,8.3842,47.38,0.989255488,391,2388.02,2388,642.58,8147.05,0.03,38.84,21.61
1,8,-0.0007,-0.0005,100,518.67,1588.32,522.1,100,554.85,1397.08,1.3,2388.06,14.62,9063.54,9.06354,23.459,8.419,47.31,0.909061648,391,2387.97,2388,642.32,8157.34,0.03,39.05,21.6
1,9,-0.0026,0,100,518.67,1587.81,521.83,100,554.13,1406.51,1.3,2388.04,14.62,9067.2,9.0672,23.4693,8.4091,47.31,0.801056398,392,2388.01,2388,641.64,8147.2,0.03,38.99,21.61
1,10,0.0019,-0.0002,100,518.67,1587.39,521.96,100,554.78,1402.25,1.3,2387.99,14.62,9070.04,9.07004,23.4781,8.3987,47.35,0.84653673,391,2387.99,2388,642.42,8152.86,0.03,38.94,21.61
